,Estimated HIV Prevalence% - (Ages 15-49),Continents,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Abkhazia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06
2,Akrotiri and Dhekelia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Algeria,AF,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,,,
5,American Samoa,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Angola,AF,0.026527865,,,,,,,,,,,0.5,0.8,1.0,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.1,2.1
8,Anguilla,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Argentina,SA,0.02050798,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4
11,Armenia,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
12,Aruba,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
